fold,candidate_index,mean_inner_neg_rmse,std_inner_neg_rmse,is_1se_selected,params
1,0,-56.263081810740786,9.586484675642335,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.1, 'reg__model': 'ridge'}"
1,1,-79.2135046901019,0.511213069409969,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.1, 'reg__model': 'lasso'}"
1,2,-64.51701271618225,6.956455513477412,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.1, 'reg__model': 'elasticnet'}"
1,3,-56.263081810740786,9.586484675642335,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.5, 'reg__model': 'ridge'}"
1,4,-79.2135046901019,0.511213069409969,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.5, 'reg__model': 'lasso'}"
1,5,-72.34924310539907,1.0669997299746825,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.5, 'reg__model': 'elasticnet'}"
1,6,-56.263081810740786,9.586484675642335,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.7, 'reg__model': 'ridge'}"
1,7,-79.2135046901019,0.511213069409969,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.7, 'reg__model': 'lasso'}"
1,8,-74.91882996471496,0.6576509691876282,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.7, 'reg__model': 'elasticnet'}"
1,9,-56.263081810740786,9.586484675642335,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.9, 'reg__model': 'ridge'}"
1,10,-79.2135046901019,0.511213069409969,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.9, 'reg__model': 'lasso'}"
1,11,-78.29247003394198,0.10329629056008827,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.9, 'reg__model': 'elasticnet'}"
1,12,-56.263081810740786,9.586484675642335,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.95, 'reg__model': 'ridge'}"
1,13,-79.2135046901019,0.511213069409969,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.95, 'reg__model': 'lasso'}"
1,14,-79.128341817023,0.5925027243988126,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.95, 'reg__model': 'elasticnet'}"
1,15,-56.263081810740786,9.586484675642335,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.99, 'reg__model': 'ridge'}"
1,16,-79.2135046901019,0.511213069409969,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.99, 'reg__model': 'lasso'}"
1,17,-79.19503315874093,0.5289099172392895,False,"{'reg__alpha': 0.0001, 'reg__l1_ratio': 0.99, 'reg__model': 'elasticnet'}"
1,18,-56.263078906116206,9.586474284869094,False,"{'reg__alpha': 0.00013894954943731373, 'reg__l1_ratio': 0.1, 'reg__model': 'ridge'}"
1,19,-78.9773490016317,0.2760308625097778,False,"{'reg__alpha': 0.00013894954943731373, 'reg__l1_ratio': 0.1, 'reg__model': 'lasso'}"
1,20,-56.03991892092884,6.146823676228859,False,"{'reg__alpha': 0.00013894954943731373, 'reg__l1_ratio': 0.1, 'reg__model': 'elasticnet'}"
