fold,candidate_index,mean_inner_neg_rmse,std_inner_neg_rmse,is_1se_selected,params
1,0,-63.96240944059018,5.679524865430491,False,"{'reg__alpha': 0.001, 'reg__model': 'pls', 'reg__n_components': 5}"
1,1,-64.91711000076782,6.612169778498526,False,"{'reg__alpha': 0.001, 'reg__model': 'pls', 'reg__n_components': 10}"
1,2,-64.9111364777113,6.670171457080947,False,"{'reg__alpha': 0.001, 'reg__model': 'pls', 'reg__n_components': 15}"
1,3,-64.91093567255851,6.669974719481814,False,"{'reg__alpha': 0.001, 'reg__model': 'pls', 'reg__n_components': 20}"
1,4,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.001, 'reg__model': 'pls', 'reg__n_components': 25}"
1,5,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.001, 'reg__model': 'pls', 'reg__n_components': 30}"
1,6,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.001, 'reg__model': 'pls', 'reg__n_components': 40}"
1,7,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.001, 'reg__model': 'pls', 'reg__n_components': 50}"
1,8,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.001, 'reg__model': 'pls', 'reg__n_components': 60}"
1,9,-75.28506177171448,10.10569175348462,False,"{'reg__alpha': 0.001, 'reg__model': 'pcr', 'reg__n_components': 5}"
1,10,-68.22059225936536,10.024678266972408,False,"{'reg__alpha': 0.001, 'reg__model': 'pcr', 'reg__n_components': 10}"
1,11,-58.96821079304385,8.70669322512303,False,"{'reg__alpha': 0.001, 'reg__model': 'pcr', 'reg__n_components': 15}"
1,12,-57.73675883162659,6.498995469676115,False,"{'reg__alpha': 0.001, 'reg__model': 'pcr', 'reg__n_components': 20}"
1,13,-56.26301470523336,9.586244595421022,False,"{'reg__alpha': 0.001, 'reg__model': 'pcr', 'reg__n_components': 25}"
1,14,-56.26301470523336,9.586244595421022,False,"{'reg__alpha': 0.001, 'reg__model': 'pcr', 'reg__n_components': 30}"
1,15,-56.26301470523336,9.586244595421022,False,"{'reg__alpha': 0.001, 'reg__model': 'pcr', 'reg__n_components': 40}"
1,16,-56.26301470523336,9.586244595421022,False,"{'reg__alpha': 0.001, 'reg__model': 'pcr', 'reg__n_components': 50}"
1,17,-56.26301470523336,9.586244595421022,False,"{'reg__alpha': 0.001, 'reg__model': 'pcr', 'reg__n_components': 60}"
1,18,-63.96240944059018,5.679524865430491,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pls', 'reg__n_components': 5}"
1,19,-64.91711000076782,6.612169778498526,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pls', 'reg__n_components': 10}"
1,20,-64.9111364777113,6.670171457080947,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pls', 'reg__n_components': 15}"
1,21,-64.91093567255851,6.669974719481814,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pls', 'reg__n_components': 20}"
1,22,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pls', 'reg__n_components': 25}"
1,23,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pls', 'reg__n_components': 30}"
1,24,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pls', 'reg__n_components': 40}"
1,25,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pls', 'reg__n_components': 50}"
1,26,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pls', 'reg__n_components': 60}"
1,27,-75.28503909276253,10.105673854235782,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pcr', 'reg__n_components': 5}"
1,28,-68.2205141677273,10.024794129165304,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pcr', 'reg__n_components': 10}"
1,29,-58.96819124267047,8.70668612372906,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pcr', 'reg__n_components': 15}"
1,30,-57.736666178776964,6.499083192427726,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pcr', 'reg__n_components': 20}"
1,31,-56.262876985396666,9.585751735435501,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pcr', 'reg__n_components': 25}"
1,32,-56.262876985396666,9.585751735435501,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pcr', 'reg__n_components': 30}"
1,33,-56.262876985396666,9.585751735435501,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pcr', 'reg__n_components': 40}"
1,34,-56.262876985396666,9.585751735435501,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pcr', 'reg__n_components': 50}"
1,35,-56.262876985396666,9.585751735435501,False,"{'reg__alpha': 0.002848035868435802, 'reg__model': 'pcr', 'reg__n_components': 60}"
1,36,-63.96240944059018,5.679524865430491,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pls', 'reg__n_components': 5}"
1,37,-64.91711000076782,6.612169778498526,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pls', 'reg__n_components': 10}"
1,38,-64.9111364777113,6.670171457080947,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pls', 'reg__n_components': 15}"
1,39,-64.91093567255851,6.669974719481814,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pls', 'reg__n_components': 20}"
1,40,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pls', 'reg__n_components': 25}"
1,41,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pls', 'reg__n_components': 30}"
1,42,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pls', 'reg__n_components': 40}"
1,43,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pls', 'reg__n_components': 50}"
1,44,-64.91093561099777,6.669974828896915,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pls', 'reg__n_components': 60}"
1,45,-75.284974506589,10.105622878111674,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pcr', 'reg__n_components': 5}"
1,46,-68.22029181087102,10.02512406149015,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pcr', 'reg__n_components': 10}"
1,47,-58.96813568912832,8.706665961711277,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pcr', 'reg__n_components': 15}"
1,48,-57.73640255029132,6.4993330722283496,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pcr', 'reg__n_components': 20}"
1,49,-56.262485290702344,9.584348894534443,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pcr', 'reg__n_components': 25}"
1,50,-56.262485290702344,9.584348894534443,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pcr', 'reg__n_components': 30}"
1,51,-56.262485290702344,9.584348894534443,False,"{'reg__alpha': 0.008111308307896872, 'reg__model': 'pcr', 'reg__n_components': 40}"
